half,time,team,event,away_score,home_score
1,20:00,Baylor,Jump Ball won by Baylor,0,0
1,19:42,Baylor,Kendall Brown missed Jumper.,0,0
1,19:42,Arkansas PB,Kylen Milton Defensive Rebound.,0,0
1,19:15,Arkansas PB,Brahm Harris missed Three Point Jumper.,0,0
1,19:15,Baylor,Matthew Mayer Defensive Rebound.,0,0
1,18:56,Baylor,James Akinjo missed Three Point Jumper.,0,0
1,18:56,Baylor,Flo Thamba Offensive Rebound.,0,0
1,18:39,Arkansas PB,Foul on Shawn Williams.,0,0
1,18:39,Baylor,Flo Thamba made Free Throw.,0,1
1,18:39,Baylor,Flo Thamba made Free Throw.,0,2
1,18:26,Arkansas PB,Kylen Milton made Dunk. Assisted by Shawn Williams.,2,2
1,18:13,Baylor,James Akinjo missed Jumper.,2,2
1,18:13,Baylor,Kendall Brown Offensive Rebound.,2,2
1,17:55,Baylor,Foul on Kendall Brown.,2,2
1,17:55,Baylor,Kendall Brown Turnover.,2,2
1,17:46,Arkansas PB,Trey Sampson made Three Point Jumper. Assisted by Shawn Williams.,5,2
1,17:35,Baylor,Adam Flagler made Three Point Jumper.,5,5
1,17:25,Arkansas PB,Brahm Harris Turnover.,5,5
1,17:19,Baylor,Matthew Mayer made Three Point Jumper. Assisted by Adam Flagler.,5,8
1,17:03,Arkansas PB,Brahm Harris missed Jumper.,5,8
1,17:03,Baylor,Flo Thamba Defensive Rebound.,5,8
1,16:49,Baylor,Adam Flagler missed Three Point Jumper.,5,8
1,16:49,Baylor,Flo Thamba Offensive Rebound.,5,8
1,16:43,Baylor,Flo Thamba missed Layup.,5,8
1,16:43,Arkansas PB,Trey Sampson Defensive Rebound.,5,8
1,16:28,Arkansas PB,Shawn Williams missed Three Point Jumper.,5,8
1,16:28,Baylor,Matthew Mayer Defensive Rebound.,5,8
1,16:18,Baylor,Adam Flagler missed Three Point Jumper.,5,8
1,16:18,Baylor,Flo Thamba Offensive Rebound.,5,8
1,16:18,Arkansas PB,Foul on AJ Stredic.,5,8
1,16:03,Baylor,Jeremy Sochan made Jumper. Assisted by LJ Cryer.,5,10
1,15:47,Arkansas PB,Kylen Milton Turnover.,5,10
1,15:47,Baylor,Jeremy Sochan Steal.,5,10
1,15:42,Baylor,Jonathan Tchamwa Tchatchoua made Dunk. Assisted by Jeremy Sochan.,5,12
1,15:41,Arkansas PB,Arkansas-Pine Bluff  Timeout,5,12
1,15:33,Arkansas PB,Jaylan Thomas missed Three Point Jumper.,5,12
1,15:33,Baylor,Jeremy Sochan Defensive Rebound.,5,12
1,15:18,Baylor,Jonathan Tchamwa Tchatchoua missed Layup.,5,12
1,15:18,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,5,12
1,15:18,Baylor,Jonathan Tchamwa Tchatchoua missed Two Point Tip Shot.,5,12
1,15:18,Baylor,Kendall Brown Offensive Rebound.,5,12
1,15:18,Baylor,Kendall Brown made Two Point Tip Shot.,5,14
1,14:58,Arkansas PB,Jaylan Thomas made Layup. Assisted by Shawn Williams.,7,14
1,14:49,Baylor,LJ Cryer made Three Point Jumper.,7,17
1,14:30,Arkansas PB,Brandon Brown made Layup. Assisted by Trey Sampson.,9,17
1,14:16,Baylor,Kendall Brown made Layup.,9,19
1,14:01,Arkansas PB,Kylen Milton missed Three Point Jumper.,9,19
1,14:01,Baylor,James Akinjo Defensive Rebound.,9,19
1,13:53,Arkansas PB,Foul on Trey Sampson.,9,19
1,13:42,Baylor,LJ Cryer made Three Point Jumper. Assisted by James Akinjo.,9,22
1,13:30,Arkansas PB,Jaylan Thomas Turnover.,9,22
1,13:30,Baylor,Jeremy Sochan Steal.,9,22
1,13:25,Baylor,Jeremy Sochan Turnover.,9,22
1,13:25,Arkansas PB,Shawn Williams Steal.,9,22
1,13:22,Arkansas PB,Brandon Brown made Layup. Assisted by Shawn Williams.,11,22
1,13:03,Baylor,James Akinjo missed Three Point Jumper.,11,22
1,13:03,Arkansas PB,Jaylan Thomas Defensive Rebound.,11,22
1,12:42,Arkansas PB,Brandon Brown Turnover.,11,22
1,12:42,Baylor,Adam Flagler Steal.,11,22
1,12:38,Baylor,James Akinjo made Layup. Assisted by Adam Flagler.,11,24
1,12:20,Baylor,Foul on Jeremy Sochan.,11,24
1,12:15,Arkansas PB,Kylen Milton made Jumper.,13,24
1,11:58,Baylor,LJ Cryer Turnover.,13,24
1,11:58,Baylor,Official TV Timeout,13,24
1,11:52,Arkansas PB,Kylen Milton missed Jumper.,13,24
1,11:52,Baylor,Matthew Mayer Defensive Rebound.,13,24
1,11:34,Baylor,Kendall Brown missed Three Point Jumper.,13,24
1,11:34,Arkansas PB,Kylen Milton Defensive Rebound.,13,24
1,11:23,Arkansas PB,Jaylan Thomas missed Three Point Jumper.,13,24
1,11:23,Baylor,Matthew Mayer Defensive Rebound.,13,24
1,10:56,Baylor,Adam Flagler Turnover.,13,24
1,10:42,Arkansas PB,Kylen Milton missed Three Point Jumper.,13,24
1,10:42,Baylor,Flo Thamba Defensive Rebound.,13,24
1,10:34,Baylor,Matthew Mayer made Three Point Jumper.,13,27
1,10:09,Arkansas PB,Brandon Brown missed Jumper.,13,27
1,10:09,Baylor,Matthew Mayer Block.,13,27
1,10:09,Arkansas PB,Kylen Milton Offensive Rebound.,13,27
1,10:03,Arkansas PB,AJ Stredic made Jumper.,15,27
1,9:45,Baylor,Matthew Mayer missed Three Point Jumper.,15,27
1,9:45,Baylor,Flo Thamba Offensive Rebound.,15,27
1,9:40,Baylor,Flo Thamba missed Layup.,15,27
1,9:40,Arkansas PB,Brahm Harris Defensive Rebound.,15,27
1,9:30,Arkansas PB,Brahm Harris missed Three Point Jumper.,15,27
1,9:30,Baylor,Matthew Mayer Defensive Rebound.,15,27
1,9:13,Baylor,Adam Flagler Turnover.,15,27
1,9:03,Arkansas PB,Shawn Williams missed Three Point Jumper.,15,27
1,9:03,Arkansas PB,Kylen Milton Offensive Rebound.,15,27
1,8:58,Arkansas PB,Shawn Williams missed Three Point Jumper.,15,27
1,8:58,Baylor,James Akinjo Defensive Rebound.,15,27
1,8:44,Baylor,LJ Cryer made Three Point Jumper.,15,30
1,8:10,Arkansas PB,Shawn Williams missed Jumper.,15,30
1,8:10,Baylor,Jeremy Sochan Defensive Rebound.,15,30
1,7:41,Baylor,Jonathan Tchamwa Tchatchoua made Layup.,15,32
1,7:41,Arkansas PB,Foul on AJ Stredic.,15,32
1,7:41,Baylor,Official TV Timeout,15,32
1,7:41,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,15,33
1,7:10,Arkansas PB,Kylen Milton Turnover.,15,33
1,7:01,Baylor,Jeremy Sochan made Layup. Assisted by James Akinjo.,15,35
1,6:26,Arkansas PB,Shawn Williams Turnover.,15,35
1,6:16,Baylor,LJ Cryer missed Three Point Jumper.,15,35
1,6:16,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,15,35
1,6:09,Baylor,Adam Flagler missed Three Point Jumper.,15,35
1,6:09,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,15,35
1,6:01,Baylor,LJ Cryer missed Three Point Jumper.,15,35
1,6:01,Arkansas PB,AJ Stredic Defensive Rebound.,15,35
1,5:29,Arkansas PB,Jaylan Thomas missed Jumper.,15,35
1,5:29,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,15,35
1,5:18,Baylor,Adam Flagler missed Three Point Jumper.,15,35
1,5:18,Baylor,Jeremy Sochan Offensive Rebound.,15,35
1,5:12,Baylor,Jeremy Sochan missed Jumper.,15,35
1,5:12,Arkansas PB,Jaylan Thomas Defensive Rebound.,15,35
1,4:53,Arkansas PB,Kylen Milton missed Three Point Jumper.,15,35
1,4:53,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,15,35
1,4:40,Baylor,James Akinjo made Three Point Jumper.,15,38
1,4:18,Arkansas PB,Isaiah Haralson Turnover.,15,38
1,4:18,Baylor,James Akinjo Steal.,15,38
1,4:09,Baylor,James Akinjo Turnover.,15,38
1,4:09,Arkansas PB,Isaiah Haralson Steal.,15,38
1,3:43,Arkansas PB,Jaylan Thomas missed Three Point Jumper.,15,38
1,3:43,Baylor,Baylor Defensive Rebound.,15,38
1,3:39,Baylor,Official TV Timeout,15,38
1,3:29,Baylor,James Akinjo missed Jumper.,15,38
1,3:29,Arkansas PB,Brandon Brown Defensive Rebound.,15,38
1,3:05,Arkansas PB,Kylen Milton made Layup.,17,38
1,2:48,Baylor,LJ Cryer missed Layup.,17,38
1,2:48,Arkansas PB,Trey Sampson Defensive Rebound.,17,38
1,2:25,Arkansas PB,Trey Sampson missed Three Point Jumper.,17,38
1,2:25,Arkansas PB,Brandon Brown Offensive Rebound.,17,38
1,2:18,Arkansas PB,Brandon Brown made Layup.,19,38
1,2:08,Baylor,Kendall Brown Turnover.,19,38
1,2:08,Arkansas PB,Shawn Williams Steal.,19,38
1,1:49,Arkansas PB,Trey Sampson missed Layup.,19,38
1,1:48,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,19,38
1,1:43,Arkansas PB,Foul on Brandon Brown.,19,38
1,1:43,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,19,39
1,1:43,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,19,40
1,1:39,Arkansas PB,Shawn Williams missed Three Point Jumper.,19,40
1,1:39,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,19,40
1,1:27,Arkansas PB,Foul on Brandon Brown.,19,40
1,1:27,Baylor,LJ Cryer made Free Throw.,19,41
1,1:27,Baylor,LJ Cryer missed Free Throw.,19,41
1,1:27,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,19,41
1,1:18,Baylor,LJ Cryer missed Jumper.,19,41
